,Unnamed: 0.1,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,is_valid,continent
4014,6240,1966-07-20,Chile,Russia,1.0,2.0,FIFA_World_Cup,Sunderland,England,1.0,2.0,1966,True,Europe
4015,6241,1966-07-20,England,France,2.0,0.0,FIFA_World_Cup,London,England,0.0,1.0,1966,True,Europe
4016,6242,1966-07-20,Germany,Spain,2.0,1.0,FIFA_World_Cup,Birmingham,England,1.0,1.0,1966,True,Europe
4017,6244,1966-07-23,England,Argentina,1.0,0.0,FIFA_World_Cup,London,England,0.0,1.0,1966,True,Europe
4018,6246,1966-07-23,Hungary,Russia,1.0,2.0,FIFA_World_Cup,Sunderland,England,1.0,2.0,1966,True,Europe
4019,6248,1966-07-25,Germany,Russia,2.0,1.0,FIFA_World_Cup,Liverpool,England,1.0,1.0,1966,True,Europe
4020,6249,1966-07-26,England,Portugal,2.0,1.0,FIFA_World_Cup,London,England,0.0,1.0,1966,True,Europe
4021,6250,1966-07-28,Portugal,Russia,2.0,1.0,FIFA_World_Cup,London,England,1.0,1.0,1966,True,Europe
4022,6252,1966-07-31,Cameroon,Congo,2.0,3.0,Friendly,Yaoundé,Cameroon,0.0,2.0,1966,True,Africa
4023,6256,1966-08-14,Hong_Kong,India,0.0,2.0,Merdeka_Tournament,Kuala_Lumpur,Malaysia,1.0,2.0,1966,True,Asia
4024,6257,1966-08-14,Norway,Finland,1.0,1.0,Nordic_Championship,Stavanger,Norway,0.0,0.0,1966,True,Europe
4025,6258,1966-08-16,Togo,Côte_d'Ivoire,1.0,2.0,Friendly,Lomé,Togo,0.0,2.0,1966,True,Africa
4026,6260,1966-08-18,Togo,Ghana,1.0,1.0,Friendly,Lomé,Togo,0.0,0.0,1966,True,Africa
4027,6261,1966-08-19,Hong_Kong,Korea_Republic,0.0,1.0,Merdeka_Tournament,Kuala_Lumpur,Malaysia,1.0,2.0,1966,True,Asia
4028,6264,1966-08-21,Korea_Republic,Thailand,2.0,1.0,Merdeka_Tournament,Kuala_Lumpur,Malaysia,1.0,1.0,1966,True,Asia
4029,6266,1966-08-22,India,Singapore,0.0,1.0,Merdeka_Tournament,Kuala_Lumpur,Malaysia,1.0,2.0,1966,True,Asia
4030,6268,1966-08-23,Hong_Kong,Thailand,2.0,2.0,Merdeka_Tournament,Ipoh,Malaysia,1.0,0.0,1966,True,Asia
4031,6271,1966-08-27,Malaysia,Korea_Republic,1.0,2.0,Merdeka_Tournament,Kuala_Lumpur,Malaysia,0.0,2.0,1966,True,Asia
4032,6274,1966-08-28,Guinea,Cameroon,2.0,2.0,Friendly,Conakry,Guinea,0.0,0.0,1966,True,Africa
4033,6275,1966-08-28,India,Korea_Republic,1.0,0.0,Merdeka_Tournament,Kuala_Lumpur,Malaysia,1.0,1.0,1966,True,Asia
4034,6278,1966-08-31,Singapore,Korea_Republic,1.0,3.0,Friendly,Kallang,Singapore,0.0,2.0,1966,True,Asia
4035,6280,1966-09-06,Zambia,Kenya,0.0,1.0,Friendly,Ndola,Zambia,0.0,2.0,1966,True,Africa
4036,6281,1966-09-07,Netherlands,Hungary,2.0,2.0,UEFA_Euro_qualification,Rotterdam,Netherlands,0.0,0.0,1966,True,Europe
4037,6282,1966-09-09,Zambia,Kenya,2.0,1.0,Friendly,Lusaka,Zambia,0.0,1.0,1966,True,Africa
4038,6285,1966-09-18,Austria,Netherlands,2.0,1.0,Friendly,Vienna,Austria,0.0,1.0,1966,True,Europe
4039,6286,1966-09-18,Finland,Denmark,2.0,1.0,Nordic_Championship,Helsinki,Finland,0.0,1.0,1966,True,Europe
4040,6287,1966-09-18,Norway,Sweden,2.0,4.0,Nordic_Championship,Oslo,Norway,0.0,2.0,1966,True,Europe
4041,6288,1966-09-18,Yugoslavia,Russia,1.0,2.0,Friendly,Belgrade,Yugoslavia,0.0,2.0,1966,True,Europe
4042,6293,1966-09-27,Kenya,Uganda,0.0,0.0,Friendly,Zanzibar,Tanzania,1.0,0.0,1966,True,Africa
4043,6296,1966-09-30,Tanzania,Kenya,2.0,3.0,Friendly,Zanzibar,Tanzania,0.0,2.0,1966,True,Africa
4044,6298,1966-10-02,Finland,Austria,0.0,0.0,UEFA_Euro_qualification,Helsinki,Finland,0.0,0.0,1966,True,Europe
4045,6301,1966-10-12,Israel,Yugoslavia,1.0,3.0,Friendly,Jaffa,Israel,0.0,2.0,1966,True,Europe
4046,6302,1966-10-12,Turkey,Germany,0.0,2.0,Friendly,Ankara,Turkey,0.0,2.0,1966,True,Europe
4047,6305,1966-10-16,Greece,Finland,2.0,1.0,UEFA_Euro_qualification,Salonica,Greece,0.0,1.0,1966,True,Europe
4048,6307,1966-10-19,Yugoslavia,Czechoslovakia,1.0,0.0,Friendly,Belgrade,Yugoslavia,0.0,1.0,1966,True,Europe
4049,6308,1966-10-22,Belgium,Switzerland,1.0,0.0,Friendly,Bruges,Belgium,0.0,1.0,1966,True,Europe
4050,6309,1966-10-22,France,Poland,2.0,1.0,UEFA_Euro_qualification,Paris,France,0.0,1.0,1966,True,Europe
4051,6310,1966-10-22,Northern_Ireland,England,0.0,2.0,UEFA_Euro_qualification,Belfast,Northern_Ireland,0.0,2.0,1966,True,Europe
4052,6311,1966-10-22,Wales,Scotland,1.0,1.0,UEFA_Euro_qualification,Cardiff,Wales,0.0,0.0,1966,True,Europe
