home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,day_of_week,month,year
Chile,Peru,3,2,Pan American Championship,Santiago,Chile,False,H,Wednesday,April,1952
Scotland,England,1,2,British Championship,Glasgow,Scotland,False,A,Saturday,April,1952
Belgium,Netherlands,4,2,Friendly,Antwerp,Belgium,False,H,Sunday,April,1952
Brazil,Mexico,2,0,Pan American Championship,Santiago,Chile,True,H,Sunday,April,1952
Panama,Uruguay,1,6,Pan American Championship,Santiago,Chile,True,A,Sunday,April,1952
Brazil,Peru,0,0,Pan American Championship,Santiago,Chile,True,D,Thursday,April,1952
Mexico,Panama,4,2,Pan American Championship,Santiago,Chile,True,H,Thursday,April,1952
Brazil,Panama,5,0,Pan American Championship,Santiago,Chile,True,H,Sunday,April,1952
Chile,Uruguay,2,0,Pan American Championship,Santiago,Chile,False,H,Sunday,April,1952
Brazil,Uruguay,4,2,Pan American Championship,Santiago,Chile,True,H,Wednesday,April,1952
Chile,Brazil,0,3,Pan American Championship,Santiago,Chile,False,A,Sunday,April,1952
France,Portugal,3,0,Friendly,Colombes,France,False,H,Sunday,April,1952
Luxembourg,Germany,0,3,Friendly,Luxembourg,Luxembourg,False,A,Sunday,April,1952
Mexico,Peru,0,3,Pan American Championship,Santiago,Chile,True,A,Sunday,April,1952
Scotland,United States,6,0,Friendly,Glasgow,Scotland,False,H,Wednesday,April,1952
Germany,Republic of Ireland,3,0,Friendly,Cologne,Germany,False,H,Sunday,May,1952
