,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year
34,Scotland,Wales,4.0,1.0,British Championship,Scotland,False,Home,1884
35,England,Northern Ireland,4.0,0.0,British Championship,England,False,Home,1885
36,England,Wales,1.0,1.0,British Championship,England,False,Draw,1885
37,Scotland,Northern Ireland,8.0,2.0,British Championship,Scotland,False,Home,1885
38,England,Scotland,1.0,1.0,British Championship,England,False,Draw,1885
39,Wales,Scotland,1.0,8.0,British Championship,Wales,False,Away,1885
40,Northern Ireland,Wales,2.0,8.0,British Championship,Republic of Ireland,False,Away,1885
41,USA,Canada,0.0,1.0,Friendly,USA,False,Away,1885
42,Wales,Northern Ireland,5.0,0.0,British Championship,Wales,False,Home,1886
43,Northern Ireland,England,1.0,6.0,British Championship,Republic of Ireland,False,Away,1886
44,Northern Ireland,Scotland,2.0,7.0,British Championship,Republic of Ireland,False,Away,1886
45,Scotland,England,1.0,1.0,British Championship,Scotland,False,Draw,1886
46,Wales,England,1.0,3.0,British Championship,Wales,False,Away,1886
47,Scotland,Wales,4.0,1.0,British Championship,Scotland,False,Home,1886
48,USA,Canada,3.0,2.0,Friendly,USA,False,Home,1886
49,England,Northern Ireland,7.0,0.0,British Championship,England,False,Home,1887
