,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year,continent
37870,Germany,Italy,4.0,1.0,Friendly,Germany,False,Home,2016,Europe
37871,Gibraltar,Latvia,0.0,5.0,Friendly,Gibraltar,False,Away,2016,Europe
37872,Greece,Iceland,2.0,3.0,Friendly,Greece,False,Away,2016,Europe
37873,Honduras,El Salvador,2.0,0.0,FIFA World Cup qualification,Honduras,False,Home,2016,America
37874,India,Turkmenistan,1.0,2.0,FIFA World Cup qualification,India,False,Away,2016,Asia
37875,IR Iran,Oman,2.0,0.0,FIFA World Cup qualification,IR Iran,False,Home,2016,Asia
37876,Iraq,Vietnam,1.0,0.0,FIFA World Cup qualification,IR Iran,True,Home,2016,Asia
37877,Republic of Ireland,Slovakia,2.0,2.0,Friendly,Republic of Ireland,False,Draw,2016,Europe
37878,Japan,Syria,5.0,0.0,FIFA World Cup qualification,Japan,False,Home,2016,Asia
37879,Lebanon,Burma,1.0,1.0,FIFA World Cup qualification,Lebanon,False,Draw,2016,Asia
37880,Lesotho,Seychelles,2.0,1.0,African Cup of Nations qualification,Lesotho,False,Home,2016,Africa
37881,Liberia,Djibouti,5.0,0.0,African Cup of Nations qualification,Liberia,False,Home,2016,Africa
37882,Luxembourg,Albania,0.0,2.0,Friendly,Luxembourg,False,Away,2016,Europe
37883,North Macedonia,Bulgaria,0.0,2.0,Friendly,North Macedonia,False,Away,2016,Europe
37884,Malawi,Guinea,1.0,2.0,African Cup of Nations qualification,Malawi,False,Away,2016,Africa
37885,Malaysia,Macau,0.0,0.0,Friendly,Malaysia,False,Draw,2016,Asia
37886,Maldives,Bhutan,4.0,2.0,FIFA World Cup qualification,Maldives,False,Home,2016,Asia
37887,Mexico,Canada,2.0,0.0,FIFA World Cup qualification,Mexico,False,Home,2016,America
37888,Montenegro,Belarus,0.0,0.0,Friendly,Montenegro,False,Draw,2016,Europe
37889,Morocco,Cabo Verde,2.0,0.0,African Cup of Nations qualification,Morocco,False,Home,2016,Africa
37890,Namibia,Burundi,1.0,3.0,African Cup of Nations qualification,Namibia,False,Away,2016,Africa
37891,Niger,Senegal,1.0,2.0,African Cup of Nations qualification,Niger,False,Away,2016,Africa
37892,Norway,Finland,2.0,0.0,Friendly,Norway,False,Home,2016,Europe
37893,Palestine,East Timor,7.0,0.0,FIFA World Cup qualification,Palestine,False,Home,2016,Asia
37894,Panama,Haiti,1.0,0.0,FIFA World Cup qualification,Panama,False,Home,2016,America
